house,year,date,url,file
senate,1978,1978-08-23,/parlInfo/download/hansard80/hansards80/1978-08-23/toc_unixml/19780823_senate_31_s78_v6.xml;fileType=text%2Fxml,19780823_senate_31_s78_v6.xml
senate,1978,1978-08-24,/parlInfo/download/hansard80/hansards80/1978-08-24/toc_unixml/19780824_senate_31_s78_v7.xml;fileType=text%2Fxml,19780824_senate_31_s78_v7.xml
senate,1978,1978-09-12,/parlInfo/download/hansard80/hansards80/1978-09-12/toc_unixml/19780912_senate_31_s78_v5.xml;fileType=text%2Fxml,19780912_senate_31_s78_v5.xml
senate,1978,1978-09-13,/parlInfo/download/hansard80/hansards80/1978-09-13/toc_unixml/19780913_senate_31_s78_v7.xml;fileType=text%2Fxml,19780913_senate_31_s78_v7.xml
senate,1978,1978-09-14,/parlInfo/download/hansard80/hansards80/1978-09-14/toc_unixml/19780914_senate_31_s78_v6.xml;fileType=text%2Fxml,19780914_senate_31_s78_v6.xml
senate,1978,1978-09-19,/parlInfo/download/hansard80/hansards80/1978-09-19/toc_unixml/19780919_senate_31_s78_v7.xml;fileType=text%2Fxml,19780919_senate_31_s78_v7.xml
senate,1978,1978-09-20,/parlInfo/download/hansard80/hansards80/1978-09-20/toc_unixml/19780920_senate_31_s78_v8.xml;fileType=text%2Fxml,19780920_senate_31_s78_v8.xml
senate,1978,1978-09-21,/parlInfo/download/hansard80/hansards80/1978-09-21/toc_unixml/19780921_senate_31_s78_v6.xml;fileType=text%2Fxml,19780921_senate_31_s78_v6.xml
senate,1978,1978-09-26,/parlInfo/download/hansard80/hansards80/1978-09-26/toc_unixml/19780926_senate_31_s78_v7.xml;fileType=text%2Fxml,19780926_senate_31_s78_v7.xml
senate,1978,1978-09-27,/parlInfo/download/hansard80/hansards80/1978-09-27/toc_unixml/19780927_senate_31_s78_v6.xml;fileType=text%2Fxml,19780927_senate_31_s78_v6.xml
senate,1978,1978-09-28,/parlInfo/download/hansard80/hansards80/1978-09-28/toc_unixml/19780928_senate_31_s78_v9.xml;fileType=text%2Fxml,19780928_senate_31_s78_v9.xml
senate,1978,1978-10-10,/parlInfo/download/hansard80/hansards80/1978-10-10/toc_unixml/19781010_senate_31_s78_v6.xml;fileType=text%2Fxml,19781010_senate_31_s78_v6.xml
senate,1978,1978-10-11,/parlInfo/download/hansard80/hansards80/1978-10-11/toc_unixml/19781011_senate_31_s78_v5.xml;fileType=text%2Fxml,19781011_senate_31_s78_v5.xml
senate,1978,1978-10-12,/parlInfo/download/hansard80/hansards80/1978-10-12/toc_unixml/19781012_senate_31_s78_v8.xml;fileType=text%2Fxml,19781012_senate_31_s78_v8.xml
senate,1978,1978-10-17,/parlInfo/download/hansard80/hansards80/1978-10-17/toc_unixml/19781017_senate_31_s79_v7.xml;fileType=text%2Fxml,19781017_senate_31_s79_v7.xml
senate,1978,1978-10-18,/parlInfo/download/hansard80/hansards80/1978-10-18/toc_unixml/19781018_senate_31_s79_v6.xml;fileType=text%2Fxml,19781018_senate_31_s79_v6.xml
senate,1978,1978-10-19,/parlInfo/download/hansard80/hansards80/1978-10-19/toc_unixml/19781019_senate_31_s79_v8.xml;fileType=text%2Fxml,19781019_senate_31_s79_v8.xml
senate,1978,1978-10-24,/parlInfo/download/hansard80/hansards80/1978-10-24/toc_unixml/19781024_senate_31_s79_v8.xml;fileType=text%2Fxml,19781024_senate_31_s79_v8.xml
senate,1978,1978-10-25,/parlInfo/download/hansard80/hansards80/1978-10-25/toc_unixml/19781025_senate_31_s79_v9.xml;fileType=text%2Fxml,19781025_senate_31_s79_v9.xml
senate,1978,1978-10-26,/parlInfo/download/hansard80/hansards80/1978-10-26/toc_unixml/19781026_senate_31_s79_v5.xml;fileType=text%2Fxml,19781026_senate_31_s79_v5.xml
senate,1978,1978-11-07,/parlInfo/download/hansard80/hansards80/1978-11-07/toc_unixml/19781107_senate_31_s79_v7.xml;fileType=text%2Fxml,19781107_senate_31_s79_v7.xml
